group,group.detail,region,lake,sample.ID,type,d13C.Ile,d13C.Leu,d13C.Phe,d13C.Thr,d13C.Val,d13C.Ile.n,d13C.Leu.n,d13C.Phe.n,d13C.Thr.n,d13C.Val.n
Zooplankton,calanoid,Sierra Nevada Mountains,Lukens,SNL-ZOOP-04A,zooplankton,-29.2,-38.4,-36.6,-26.4,-33.1,3.54,-5.66,-3.86,6.34,-0.36
Zooplankton,calanoid,Sierra Nevada Mountains,MayPond,SNL-ZOOP-05A,zooplankton,-31.1,-40.5,-37.3,-28.7,-34.9,3.4,-6,-2.8,5.8,-0.4
Zooplankton,calanoid,Sierra Nevada Mountains,MayPond,SNL-ZOOP-06A,zooplankton,-29.7,-39.7,-35.1,-22.7,-30.8,1.9,-8.1,-3.5,8.9,0.8
Zooplankton,calanoid,Sierra Nevada Mountains,MayPond,SNL-ZOOP-07A,zooplankton,-30,-38.7,-34.7,-24.2,-31.4,1.8,-6.9,-2.9,7.6,0.4
Zooplankton,calanoid_cyclopoid,Sierra Nevada Mountains,Blue,SNL-ZOOP-08A,zooplankton,-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58
Zooplankton,calanoid_cyclopoid,Sierra Nevada Mountains,Blue,SNL-ZOOP-09A,zooplankton,-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.74
Zooplankton,Daphnia,Sierra Nevada Mountains,Blue,SNL-ZOOP-10A,zooplankton,-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78
Zooplankton,Daphnia,Sierra Nevada Mountains,Blue,SNL-ZOOP-11A,zooplankton,-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.42
Zooplankton,Daphnia,Sierra Nevada Mountains,Cascade,SNL-ZOOP-13A,zooplankton,-21.7,-34.4,-31.3,-16.1,-26.8,4.36,-8.34,-5.24,9.96,-0.74
Zooplankton,Daphnia,Sierra Nevada Mountains,Cascade,SNL-ZOOP-14A,zooplankton,-22.4,-33.8,-32,-19.4,-26.5,4.42,-6.98,-5.18,7.42,0.32
Zooplankton,Daphnia,Sierra Nevada Mountains,EasternBrook,SNL-ZOOP-15A,zooplankton,-22.7,-32.9,-29.6,-17.5,-24.9,2.82,-7.38,-4.08,8.02,0.62
Zooplankton,calanoid_cyclopoid,Sierra Nevada Mountains,EasternBrook,SNL-ZOOP-16A,zooplankton,-23.1,-33.3,-33,-16.8,-25.7,3.28,-6.92,-6.62,9.58,0.68
Zooplankton,calanoid_cyclopoid,Sierra Nevada Mountains,EasternBrook,SNL-ZOOP-17A,zooplankton,-23.3,-34.2,-31.1,-18.4,-27.6,3.62,-7.28,-4.18,8.52,-0.68
Zooplankton,calanoid,Sierra Nevada Mountains,Granite2,SNL-ZOOP-18A,zooplankton,-20,-30,-27.5,-13.4,-24,2.98,-7.02,-4.52,9.58,-1.02
Zooplankton,Daphnia,Sierra Nevada Mountains,Granite2,SNL-ZOOP-19A,zooplankton,-19,-27.7,-26,-12.8,-23,2.7,-6,-4.3,8.9,-1.3
Zooplankton,Ceriodaphnia,Sierra Nevada Mountains,Granite2,SNL-ZOOP-20A,zooplankton,-17.1,-24.9,-24.5,-9.1,-19.1,1.84,-5.96,-5.56,9.84,-0.16
Zooplankton,>350um,Sierra Nevada Mountains,Sunrise2,SNL-ZOOP-GFF47,zooplankton,-29.1,-37.5,-36.3,-25.7,-35,3.62,-4.78,-3.58,7.02,-2.28
Zooplankton,Holopedium,Sierra Nevada Mountains,Cascade,SNL-ZOOP-GFF48,zooplankton,-23.2,-31.9,-30.6,-22.3,-30.4,4.48,-4.22,-2.92,5.38,-2.72
Zooplankton,>350um,Sierra Nevada Mountains,Blue,SNL-ZOOP-GFF49,zooplankton,-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.9
Zooplankton,>350um,Sierra Nevada Mountains,EasternBrook,SNL-ZOOP-GFF53,zooplankton,-24.3,-32.9,-32.9,-20.5,-26.5,3.12,-5.48,-5.48,6.92,0.92
Zooplankton,>350um,Sierra Nevada Mountains,Lukens,SNL-ZOOP-GFF65,zooplankton,-24.4,-35.4,-34.6,-22.9,-29.2,4.9,-6.1,-5.3,6.4,0.1
Zooplankton,>350um,Sierra Nevada Mountains,Greenstone,SNL-ZOOP-GFF66,zooplankton,-18.1,-28.1,-29.1,-13.2,-19.6,3.52,-6.48,-7.48,8.42,2.02
Zooplankton,>350um,Sierra Nevada Mountains,Granite2,SNL-ZOOP-GFF67,zooplankton,-18.2,-26,-25.9,-14.4,-21.9,3.08,-4.72,-4.62,6.88,-0.62
Zooplankton,>350um,Sierra Nevada Mountains,MayPond,SNL-ZOOP-GFF69,zooplankton,-33.1,-40.3,-39.4,-28.6,-36.4,2.46,-4.74,-3.84,6.96,-0.84
Zooplankton,>350um,Sierra Nevada Mountains,Cascade,SNL-ZOOP-GFF70,zooplankton,-19.6,-31.8,-30.9,-18.7,-24,5.4,-6.8,-5.9,6.3,1
